algo        clusters5   clusters5-ip       birch   birch-ip     mnist50   mnist50-ip    covtype  covtype-ip   mnist784  mnist784-ip           d2   d2-ip           d3   d3-ip           d5   d5-ip           d7   d7-ip           d10  d10-ip         d15  d15-ip            u2    u2-ip            u3    u3-ip           u5    u5-ip           u7    u7-ip          u10    u10-ip         u15       u15-ip
Lloyd     14650014700              1   950009600          1   105001760            1  190572272           1   73201230            1   7650007700       1   7200007250       1  14650014700       1   4950005000       1    8850008900       1  6550006600       1   25300025350        1   16550016600        1  19550019600        1  16550016600        1  46900046950         1           1            1
Compare     366837118              1    14433096          1     13989821           1  189958479           1   73068425            1    203147004       1    175185918       1    366837118       1    107681240       1     216702457       1    134290972      1     858739993        1    1132969320        1   4175420391        1   8434553736        1  43651801198         1           1            1
Sort        366966354              1    14488020          1     14019416           1  190698246           1   73285078            1    203360797       1    175282485       1    366966354       1    107672870       1     216694550       1    134150104      1     860361329        1    1136429063        1   4179239109        1   8443653148        1  43675883624         1           1            1
Elkan         4345875              1     1676671          1     1120164            1   15006094           1    5116122            1      6000288       1      3847627       1      4345875       1      2556783       1       4576397       1     2532279       1      26409683        1      47905086        1     97840833        1    158148761        1    433642547         1   593434444         1000
ElkanA        4343075         157728     1638950     620424      815730        31282   15006094        3532    5116122        21654      5973674  248098      3840213  140280      4343075  157728      2555431   77274       4575428  121628     2508188   39118      22431386  1888246      43792156  1409754     94978559  1676924    155952313  1476786    433107514   4368706   593434444      5869378
ElkanAB       4336431         157728     1636738     620424      819979        31282   15006094        3532    5116122        21654      5968100  248098      3840264  140280      4336431  157728      2555432   77274       4575428  121628     2508188   39118      22450925  1888246      43782948  1409754     94975841  1676924    155952313  1476786    433107514   4368706   593434444      5869378
ElkanABD      4336431         157728     1637581     620424      819979        31282   15006094        3532    5116122        21654      5968975  248098      3840264  140280      4336431  157728      2555432   77274       4575428  121628      2508188  39118      22897990  1888246      44463889  1409754     95020205  1676924    156004550  1476786    433148850   4368706   593434444      5869378
Hamerly      77858728              1    58696761          1     3550254            1   33023089           1   12322177            1    217345958       1    103067564       1     77858728       1     31784711       1      62617085       1    15628297       1     590837217        1    1085145603        1   1686436785        1   2030176146        1   3919294278         1  4297234285            1
HamerlyA     35872734          62854    25755607      39230     2437916        10462   33023089        1288   12297987         4850    110845806   30254     43562807   25256     35872734   62854     19617839   23486      41798533   36798    15217587   30790     375151513   163324     757085787   126444   1488830925   104926   1926477236    73382   3898051612    189254  4297220351       265650
HamerlyAB    17453080          62854     8368541      39230     1680212        10462   32990743        1288   12256430         4850     43716694   30254     20191169   25256     17453080   62854      9091542   23486      12234816   36798     6821483   30790     134548686   163324     517618292   126444   1488231017   104926   1925658354    73382   3896903837    189254  4296016210       265650
HamerlyABE   12921496          62854     5276390      39230     1579007        10462   32987648        1288   12256430         4850     32544501   30254     13563119   25256     12921496   62854      4887054   23486       8642741   36798     5800398   30790     119157558   163324     509994960   126444   1488230876   104926   1925658347    73382   3896903837    189254  4296016210       265650
HamerlyB     23049686             50    13327519        100      2118801          10   32990743           8   12280620           10     66280359      50     29477326      50     23049686      50      9624790      50      13510896      50      6892827     50     191450849       50     721954175       50   1685836877       50   2029357264       50   3918146503        50  4296030144           50
Heap        161056644              1   135491849          1     6008393            1   36929834           1   14187767            1    465152513       1    211001477       1    161056644       1     87786354       1     121658239       1    73176614       1     999931237        1    1456485752        1   1948719358        1   2287886232        1   4590035025         1  5306964291         1000
HeapA        99776094          65510    64626149      40278     4762113         9924   36932074        1288    14189447        4850    272537213   30964    113058227   25910     99776094   65510     73583554   23644     104600739   36590    65829414   31296     819790437   157332    1280015002    95440   1928590958    80520   2286463182    66186   4591964775    187450  5310206841       265650
HeapAC       35827618          62854    25738849      39230     2432900        10462   33017160        1288   12297987         4850    110727075   30254     43466473   25256     35827618   62854     19615548   23486      41707832   36798    15217587   30790     374977503   163324     756975805   126444   1488824780   104926   1926472230    73382   3898050907    189254  4297220348       265650
HeapABC      17374866          62854     8365125      39230     1675663        10462   32984814        1288   12256430         4850     43676288   30254     20154033   25256     17374866   62854      9089251   23486      12144115   36798     6821483   30790     134463479   163324     517518423   126444   1488224872   104926   1925653348    73382   3896903132    189254  4296016207       265650
Annulus      70260727              1    12922893          1     1801861            1   63089404           1   15482069            1     64505745       1     38345737       1     70260727       1     13344181       1      26923239       1    10002760       1     165711678        1     478668691        1   1320100776        1   1915333038        1   3998229819         1  4609650880         1000
AnnulusA     31297998          62854     8299505      39226     1589075        10462   63089404        1288   15455215         4850     42491101   30254     21121555   25256     31297998   62854     10125012   23486      20214318   36798     9802871   30790     122361843   163326     348488120   126446   1177877448   104926   1824060013    73382   3977165202    189254  4609636833       265650
