algo      clusters5       birch    mnist50  covtype       d2       d3        d5        d7       d10       d15        u2       u3        u5        u7      u10 mnist784
Lloyd       433.266     18.0945    19.9696  38.7913  150.971  164.932   433.347   178.117   399.578  398.6254  496.4453  382.199  580.1921  596.2529  2115.86  192.123
Compare     33.4847     1.68764    2.93015  38.8608  15.1828  14.7114   33.4847   11.1572   23.1994   18.1332   55.8188  59.4199   198.767   390.441   2088.5  191.499
Sort        15.3461    0.384441    2.81197  39.0686  5.14982  4.87056   15.3461   4.37783   11.2423   9.02893   22.5338  34.5563   141.756   337.741  2108.23  192.239
Elkan       41.8663     2.31595   0.667998  4.40103  23.9455  20.3522   41.8663   11.6357   24.3291   12.1914   94.0128  89.3788   163.067   122.465  238.914  14.8805                                
ElkanA       42.552     2.41773   0.684396  4.42783  21.6808  20.6919    42.552     11.81   24.7156    13.767   98.4956  90.5512    160.32   118.688  257.817  14.8879
ElkanAB     37.2558     1.71934   0.517421  4.48342  16.7735  18.1655   37.2558   9.30289   20.1492   11.9183   69.8114   60.609   149.741   125.995  273.453  14.8918
ElkanABD    15.1176    0.520621   0.403839  4.12887  9.62944  7.34268   15.1176   1.82462   6.86266   1.87012    33.272  42.5327   125.657   98.0519  171.505  14.8493
Hamerly     4.03369     1.25091   0.793579  7.16951  5.68394  3.39858   4.03369   1.83872   4.17057   1.79663   15.9751  29.5245   56.2652   79.0856  192.242  32.9485
HamerlyA    2.94055     0.59451   0.578112  7.18171  3.53596  2.03769   2.94055   1.46508   3.33529   1.88691   11.6429  21.7476   50.7686   76.1708  195.368  32.9102
HamerlyAB   2.23936    0.232765   0.426335  7.05353   1.9606  1.38919   2.23936   1.02144   1.87262    1.3019   6.28205  14.9618    48.066   72.0792  183.572  32.7373
HamerlyABE  2.11198    0.172874   0.423536  7.06403  1.90401  1.23691   2.11198  0.874967   1.73684   1.25621   6.20496  14.7527   48.0203   72.1463  182.877  32.7618
HamerlyB    2.74258    0.333149   0.520521  7.10662  2.47972  1.75413   2.74258   1.12733   2.08048    1.3445   7.80061  19.9216   53.2333   76.0794   185.91  32.8945
Heap        5.55196     2.83207    1.26791  9.45026  11.6875   5.9362   5.55196   3.59435   6.05428   4.84646   25.0282  41.7117   68.4256   94.8458  229.603  37.8023
HeapA       3.48467     1.38089    1.03804  9.54425  6.87196  3.24081   3.48467   3.04004    5.2664   4.37434    21.222  37.9385   70.0008   98.1433  240.751   37.921
HeapAC      1.89601      0.6578   0.695494  9.26469  4.53841   1.9713   1.89601   1.21092   2.74748   1.36479   17.1525  29.9899   60.5204   87.6543  214.222  33.3511
HeapABC     1.35649    0.317752   0.552416  9.26059  3.14912  1.42008   1.35649  0.823575   1.46778  0.866368    12.739  24.8307   60.4191   87.8865  213.994  33.2603
Annulus     4.72578    0.362945   0.476727  13.5123  2.79428  2.46932   4.72578   1.25791   2.84457   1.46748   8.19795   16.287    47.076   74.7166  236.761  41.3035
AnnulusA    3.09563    0.257061   0.430335  13.5188  2.17747  1.79813   3.09563   1.17332   2.54811   1.57016   7.14761  13.0062   41.1087   71.5479  191.241  41.2598
