eang     bounds     clusters5  itsd5   bnd         birch  itsbirch bnds      mnist50  itsmn50       d2  itsd2          d3   its3           d7 itsd7           d10  itsd10            d15   itsd15            u2   u2its           u3  u3its           u5 u5its             u7   u7its          u10  u10its            u15    u15its         covtype  covtypeits   covtypebnds      mnist784  mnist784its  mnist784bnds
#Lloyd         1             0  293       1             0   95        1             0  175            0    153           0    144            0    99             0     177              0      131             0     506            0    331            0   391              0     331            0     938              0      1329  	          0          41             1             0          122             1
Elkan        50   3.16958e+06  293     100    3.1559e+11   95       10   5.99923e+09  175  5.20741e+06    153 2.90844e+06    144  1.81306e+06    99   2.20009e+06     177    4.98173e+06      131   5.09237e+06     506  1.15802e+07    331  1.95154e+07   391    3.13664e+07     331  5.14316e+07     938    5.97967e+07      1329  	 8.8148e+09          41            54   9.03925e+08          122           784
ElkanA       50       71844.3  293     100    5.2259e+10   95       10   1.79993e+09  175  2.04032e+06    153      586184    144       216373    99        240486     177        -179470      131   1.39444e+06     506  4.51207e+06    331  1.30839e+07   391    2.79396e+07     331  5.00608e+07     938    5.86049e+07      1329  	 7.8875e+09          41            54   8.16827e+08          122           784
ElkanAB      50       71844.3  293     100   5.22351e+10   95       10     1.802e+09  175     2.04e+06    153      586181    144       216373    99        240486     177        -179470      131   1.39413e+06     506  4.51176e+06    331  1.30839e+07   391    2.79396e+07     331  5.00608e+07     938    5.86049e+07      1329  	 7.8875e+09          41            54   8.16827e+08          122           784
ElkanABD     50       71844.3  293     100   5.25526e+10   95       10    1.8059e+09  175  2.04252e+06    153      586181    144       216373    99        240486     177        -178147      131   1.43099e+06     506  4.63527e+06    331  1.31113e+07   391    2.79962e+07     331   5.0077e+07     938    5.86049e+07      1329      7.8875e+09          41            54   8.16827e+08          122           784
Hamerly       1   1.15264e+06  293       1   3.62994e+10   95        1   1.06419e+09  175  1.17223e+06    153      875107    144       750674    99        774223     177    2.16067e+06      131        340940     506       933110    331  1.48554e+06   391     2.4598e+06     331  3.08906e+06     938    2.70374e+06      1329  	2.60335e+09          41             1   1.86898e+08          122             1
HamerlyA      1        284586  293       1   9.79443e+09   95        1   5.65421e+08  175       415952    153      270002    144       141957    99        146264     177         170806      131        195233     506       586300    331  1.25407e+06   391    2.28325e+06     331  3.06887e+06     938    2.70374e+06      1329  	2.60335e+09          41             1    1.8585e+08          122             1
HamerlyAB     1        284586  293       1   9.79443e+09   95        1   5.65421e+08  175       415952    153      270002    144       141957    99        146264     177         170806      131        195233     506       586300    331  1.25407e+06   391    2.28325e+06     331  3.06887e+06     938    2.70374e+06      1329  	2.60335e+09          41             1    1.8585e+08          122             1
HamerlyABE    1        284586  293       1   9.79443e+09   95        1   5.65421e+08  175       415952    153      270002    144       141957    99        146264     177         170806      131        195233     506       586300    331  1.25407e+06   391    2.28325e+06     331  3.06887e+06     938    2.70374e+06      1329  	2.60335e+09          41             1    1.8585e+08          122             1
HamerlyB      1   1.15264e+06  293       1   3.62994e+10   95        1   1.06419e+09  175  1.17223e+06    153      875107    144       750674    99        774223     177    2.16067e+06      131        340940     506       933110    331  1.48554e+06   391     2.4598e+06     331  3.08906e+06     938    2.70374e+06      1329     2.60335e+09          41             1   1.86898e+08          122             1
Heap          1   1.15264e+06  293       1   3.62994e+10   95        1   1.06419e+09  175  1.17223e+06    153      875107    144       750674    99        774223     177    2.16067e+06      131        340940     506       933110    331  1.48554e+06   391     2.4598e+06     331  3.08906e+06     938    2.70374e+06      1329  	2.60335e+09          41             1   1.86898e+08          122             1
HeapA         1        307768  293       1   1.21253e+10   95        1   6.52752e+08  175       500699    153      277162    144       143559    99        147042     177         173681      131        245593     506       742549    331  1.43791e+06   391    2.45057e+06     331  3.08862e+06     938    2.70378e+06      1329  	2.60342e+09          41             1   1.85873e+08          122             1
HeapAC        1        284593  293       1   9.79582e+09   95        1   5.65433e+08  175       415957    153      270002    144       141964    99        146270     177         170826      131        195234     506       586305    331  1.25409e+06   391    2.28328e+06     331   3.0689e+06     938    2.70378e+06      1329  	2.60342e+09          41             1   1.85873e+08          122             1
HeapABC       1        284593  293       1   9.79582e+09   95        1   5.65433e+08  175       415957    153      270002    144       141964    99        146270     177         170826      131        195234     506       586305    331  1.25409e+06   391    2.28328e+06     331   3.0689e+06     938    2.70378e+06      1329  	2.60342e+09          41             1   1.85873e+08          122             1
Annulus       1   1.15264e+06  293       1   3.62994e+10   95        1   1.06419e+09  175  1.17223e+06    153      875107    144       750674    99        774223     177    2.16067e+06      131        340940     506       933110    331  1.48554e+06   391     2.4598e+06     331  3.08906e+06     938    2.70374e+06      1329  	2.60335e+09          41             1   1.86898e+08          122             1
AnnulusA      1        284586  293       1    9.7943e+09   95        1   5.65421e+08  175       415860    153      270002    144       141957    99        146264     177         170806      131        195228     506       586298    331  1.25407e+06   391    2.28325e+06     331  3.06887e+06     938    2.70374e+06      1329     2.60335e+09          41             1    1.8585e+08          122             1
