        x        y
   -0.6941    1.0751
    0.0192    0.5498
    0.0944    1.6189
   -1.2082    1.2115
   -0.2836    0.7757
    0.0894    0.9739
   -0.1187    0.0572
   -0.0517    1.3388
   -0.0668    0.9023
    0.1256    0.9491
   -0.4498    1.3502
   -0.3460    1.4689
   -0.9938    0.0889
   -0.5444    0.2122
   -0.9326    0.9800
   -0.8764    1.2246
   -1.3708    1.0459
   -1.2551    1.0727
   -1.1117    1.0282
   -0.9726    1.1100
   -0.7178    1.0254
   -1.0725    1.6968
   -0.6846    0.7083
   -0.8811    0.5364
   -0.7065    0.7148
   -0.9683    0.7267
   -1.1642    0.8916
   -1.3703    0.9579
   -0.9611    0.9454
   -0.7954    1.1353
   -1.0731    1.0973
   -1.1352    1.1878
   -1.0772    1.4446
   -1.2741    1.3058
   -1.1233    0.6792
   -1.0452    0.4178
   -0.9885    1.2255
   -1.0159    0.5411
   -0.8472    1.0167
   -0.9727    1.0089
   -0.5465    1.5568
   -0.9220    0.9827
   -0.5489    0.8732
   -1.1808    1.0590
   -0.8684    1.0615
   -1.0651    1.0175
   -0.8500    0.8479
   -0.8515    0.6944
   -1.5465    1.0791
   -1.3318    0.6643
   -1.3603    0.7420
   -0.8995    1.3328
   -0.6324    0.8953
   -1.0817    0.9649
   -0.7969    1.2250
   -0.8636    0.9250
   -1.2629    1.2573
   -0.9006    0.9137
   -1.1880    1.2532
   -0.6209    1.1573
   -1.0081    0.9467
   -0.5910    0.7836
   -1.1063    0.7392
   -0.8526    0.9325
   -1.0157    0.8905
   -1.5055    0.8978
   -1.2455    1.2459
   -0.8469    0.9256
   -1.0137    1.2859
   -1.2797    0.8671
   -1.1566    1.2431
   -0.9376    0.8694
   -1.2483    1.0441
   -0.7563    1.2427
   -1.1602    0.8965
   -0.5478    0.8904
   -1.2700    1.5008
   -0.9502    1.2377
   -1.3803    0.8920
   -1.1809    1.1622
   -1.1483    0.9100
   -0.8997    1.1765
   -0.7645    1.3540
   -0.9249    0.5989
   -1.0933    1.2572
   -0.7961    1.3645
   -0.8003    1.0119
   -0.9699    1.4366
   -0.8572    1.0388
   -0.8968    0.6907
   -1.2467    0.4516
   -0.8101    0.9166
   -1.1643    1.1784
   -1.1510    1.0794
   -0.9558    1.1034
   -1.0769    0.8557
   -1.0330    1.0360
   -0.8512    0.5903
   -0.7383    0.8100
   -1.0495    0.7953
   -0.9181    1.1299
   -1.0596    0.9965
   -0.9426    0.7111
   -0.8900    0.9976
   -1.1542    0.8275
   -0.9313    0.8333
   -0.8497    1.2160
   -0.9769    1.0284
   -0.5675    1.0996
   -1.1521    1.2210
   -1.1843    1.0451
   -1.4375    1.1377
   -0.7724    1.1707
   -0.7832    1.2927
